Method,Dimension,Lambda,ARL,h,ARL_observed
ssDMEWMC,5,0.9,500,26.5435389683,487.9
ssDMEWMC,5,0.9,1000,27.4800717102,1190.6
ssDMEWMC,5,0.9,2000,29.7013941868,2000.2
ssDMEWMC,5,0.9500000000000001,100,31.2118497769,95.2
ssDMEWMC,5,0.9500000000000001,200,33.0047797229,253.8
ssDMEWMC,5,0.9500000000000001,500,33.9358207114,520.6
ssDMEWMC,5,0.9500000000000001,1000,35.503238122,1049.5
ssDMEWMC,5,0.9500000000000001,2000,37.895944575,2130.4
ssDMEWMC,6,0.05,100,0.342416008,87.4
ssDMEWMC,6,0.05,200,0.3567405764,247.8
ssDMEWMC,6,0.05,500,0.40011377070000004,628.3
ssDMEWMC,6,0.05,1000,0.4508832639,1091.3
ssDMEWMC,6,0.05,2000,0.49953381010000003,2139.0
ssDMEWMC,6,0.1,100,0.7886582031,100.0
ssDMEWMC,6,0.1,200,0.9032432554000001,178.4
ssDMEWMC,6,0.1,500,1.015017523,495.8
ssDMEWMC,6,0.1,1000,1.0727365276,1123.8
ssDMEWMC,6,0.1,2000,1.0924367179,2062.5
ssDMEWMC,6,0.2,100,1.9091303159000002,103.2
ssDMEWMC,6,0.2,200,2.061564939,219.7
ssDMEWMC,6,0.2,500,2.2495966447,428.0
ssDMEWMC,6,0.2,1000,2.4261119506,970.8
ssDMEWMC,6,0.2,2000,2.6384054308,2022.9
ssDMEWMC,6,0.30000000000000004,100,3.3030977539,103.3
ssDMEWMC,6,0.30000000000000004,200,3.5410580918,187.4
ssDMEWMC,6,0.30000000000000004,500,3.8588489091,453.5
ssDMEWMC,6,0.30000000000000004,1000,4.0303143604,1054.5
ssDMEWMC,6,0.30000000000000004,2000,4.5322713059,2633.5
ssDMEWMC,6,0.4,100,5.1501110744,124.3
ssDMEWMC,6,0.4,200,5.5017756194,201.7
ssDMEWMC,6,0.4,500,5.959102414,497.1
ssDMEWMC,6,0.4,1000,6.3157507051,990.1
ssDMEWMC,6,0.4,2000,6.7597991497,1995.4
ssDMEWMC,6,0.5,100,7.6219189901,107.7
ssDMEWMC,6,0.5,200,7.8981742111,230.8
ssDMEWMC,6,0.5,500,8.4249605062,526.7
ssDMEWMC,6,0.5,1000,9.1107557272,1107.7
ssDMEWMC,6,0.5,2000,9.8144819575,1937.9
ssDMEWMC,6,0.6000000000000001,100,10.7429542621,109.4
ssDMEWMC,6,0.6000000000000001,200,11.4017989579,186.8
ssDMEWMC,6,0.6000000000000001,500,12.1153446359,524.3
ssDMEWMC,6,0.6000000000000001,1000,12.9484267552,1012.8
ssDMEWMC,6,0.6000000000000001,2000,13.7607579522,1956.4
ssDMEWMC,6,0.7000000000000001,100,15.0311576524,115.9
ssDMEWMC,6,0.7000000000000001,200,15.865960811,133.4
ssDMEWMC,6,0.7000000000000001,500,16.6455692625,507.2
ssDMEWMC,6,0.7000000000000001,1000,18.6006015284,926.1
ssDMEWMC,6,0.7000000000000001,2000,19.1217476727,1910.9
ssDMEWMC,6,0.8,100,21.8075107252,97.4
