,Method,Dimension,Lambda,ARL,h,
324,MEWMA,7,0.9,2000,27.15102227,
325,MEWMA,7,0.95,100,18.08471726,
326,MEWMA,7,0.95,200,20.2522,
327,MEWMA,7,0.95,500,23.11133412,
328,MEWMA,7,0.95,1000,25.17819199,
329,MEWMA,7,0.95,2000,27.18027984,
330,MEWMA,8,0.05,100,16.103,1.100834017
331,MEWMA,8,0.05,200,18.257,1.094544365
332,MEWMA,8,0.05,500,21.075,1.085836468
333,MEWMA,8,0.05,1000,23.163,1.081120187
334,MEWMA,8,0.05,2000,25.186,1.077337668
335,MEWMA,8,0.1,100,17.581,1.095799053
336,MEWMA,8,0.1,200,19.74,1.089764823
337,MEWMA,8,0.1,500,21.075,1.015075619
338,MEWMA,8,0.1,1000,23.163,1.020441429
339,MEWMA,8,0.1,2000,25.186,1.02490437
340,MEWMA,8,0.2,100,18.852,1.092236385
341,MEWMA,8,0.2,200,20.905,1.085748416
342,MEWMA,8,0.2,500,23.515,1.07985856
343,MEWMA,8,0.2,1000,25.416,1.076356244
344,MEWMA,8,0.2,2000,27.252,1.072406737
345,MEWMA,8,0.3,100,18.75700543,
346,MEWMA,8,0.3,200,21.005063,
347,MEWMA,8,0.3,500,23.97048366,
348,MEWMA,8,0.3,1000,26.1141757,
349,MEWMA,8,0.3,2000,28.19068992,
350,MEWMA,8,0.4,100,19.01737474,
351,MEWMA,8,0.4,200,21.296638,
352,MEWMA,8,0.4,500,24.30322219,
353,MEWMA,8,0.4,1000,26.47667119,
354,MEWMA,8,0.4,2000,28.58200988,
355,MEWMA,8,0.5,100,19.15276679,
356,MEWMA,8,0.5,200,21.448257,
357,MEWMA,8,0.5,500,24.47624622,
358,MEWMA,8,0.5,1000,26.66516885,
359,MEWMA,8,0.5,2000,28.78549626,
360,MEWMA,8,0.6,100,19.23608497,
361,MEWMA,8,0.6,200,21.541561,
362,MEWMA,8,0.6,500,24.58272255,
363,MEWMA,8,0.6,1000,26.78116741,
364,MEWMA,8,0.6,2000,28.91071865,
365,MEWMA,8,0.7,100,19.26732929,
366,MEWMA,8,0.7,200,21.57655,
367,MEWMA,8,0.7,500,24.62265118,
368,MEWMA,8,0.7,1000,26.82466687,
369,MEWMA,8,0.7,2000,28.95767704,
370,MEWMA,8,0.8,100,19.30898838,
371,MEWMA,8,0.8,200,21.623202,
372,MEWMA,8,0.8,500,24.67588934,
373,MEWMA,8,0.8,1000,26.88266615,
374,MEWMA,8,0.8,2000,29.02028824,
375,MEWMA,8,0.9,100,19.32981792,
376,MEWMA,8,0.9,200,21.646528,
377,MEWMA,8,0.9,500,24.70250842,
378,MEWMA,8,0.9,1000,26.91166579,
379,MEWMA,8,0.9,2000,29.05159383,
380,MEWMA,8,0.95,100,19.35064747,
381,MEWMA,8,0.95,200,21.669854,
382,MEWMA,8,0.95,500,24.72912751,
383,MEWMA,8,0.95,1000,26.94066543,
384,MEWMA,8,0.95,2000,29.08289943,
385,MEWMA,9,0.05,100,17.573,1.091287338
386,MEWMA,9,0.05,200,19.792,1.08407734
387,MEWMA,9,0.05,500,22.712,1.07767497
388,MEWMA,9,0.05,1000,24.849,1.072788499
389,MEWMA,9,0.05,2000,26.927,1.069125705
390,MEWMA,9,0.1,100,19.095,1.086115693
391,MEWMA,9,0.1,200,21.317,1.079888551
392,MEWMA,9,0.1,500,24.142,1.145527877
393,MEWMA,9,0.1,1000,26.196,1.130941588
394,MEWMA,9,0.1,2000,28.172,1.118557929
395,MEWMA,9,0.2,100,20.394,1.081795035
