,Method,Dimension,Lambda,ARL,h,
2261,ssDMEWMA,4,0.1,200,12.73,
2262,ssDMEWMA,4,0.1,500,15.246,
2263,ssDMEWMA,4,0.1,1000,16.975,
2264,ssDMEWMA,4,0.1,2000,18.659,
2265,ssDMEWMA,4,0.2,100,12.194,
2266,ssDMEWMA,4,0.2,200,13.87,
2267,ssDMEWMA,4,0.2,500,16.177,
2268,ssDMEWMA,4,0.2,1000,17.829,
2269,ssDMEWMA,4,0.2,2000,19.452,
2270,ssDMEWMA,4,0.3,100,12.60720692,
2271,ssDMEWMA,4,0.3,200,14.34,
2272,ssDMEWMA,4,0.3,500,16.7251752,
2273,ssDMEWMA,4,0.3,1000,18.43315501,
2274,ssDMEWMA,4,0.3,2000,20.11115213,
2275,ssDMEWMA,4,0.4,100,12.8182062,
2276,ssDMEWMA,4,0.4,200,14.58,
2277,ssDMEWMA,4,0.4,500,17.00509445,
2278,ssDMEWMA,4,0.4,1000,18.7416597,
2279,ssDMEWMA,4,0.4,2000,20.44774045,
2280,ssDMEWMA,4,0.5,100,12.93249748,
2281,ssDMEWMA,4,0.5,200,14.71,
2282,ssDMEWMA,4,0.5,500,17.15671738,
2283,ssDMEWMA,4,0.5,1000,18.9087664,
2284,ssDMEWMA,4,0.5,2000,20.63005912,
2285,ssDMEWMA,4,0.6,100,12.99403893,
2286,ssDMEWMA,4,0.6,200,14.78,
2287,ssDMEWMA,4,0.6,500,17.23836049,
2288,ssDMEWMA,4,0.6,1000,18.99874694,
2289,ssDMEWMA,4,0.6,2000,20.72823071,
2290,ssDMEWMA,4,0.7,100,13.02920548,
2291,ssDMEWMA,4,0.7,200,14.82,
2292,ssDMEWMA,4,0.7,500,17.2850137,
2293,ssDMEWMA,4,0.7,1000,19.05016438,
2294,ssDMEWMA,4,0.7,2000,20.78432877,
2295,ssDMEWMA,4,0.8,100,13.05558039,
2296,ssDMEWMA,4,0.8,200,14.85,
2297,ssDMEWMA,4,0.8,500,17.3200036,
2298,ssDMEWMA,4,0.8,1000,19.08872747,
2299,ssDMEWMA,4,0.8,2000,20.82640231,
2300,ssDMEWMA,4,0.9,100,13.07316366,
2301,ssDMEWMA,4,0.9,200,14.87,
2302,ssDMEWMA,4,0.9,500,17.34333021,
2303,ssDMEWMA,4,0.9,1000,19.11443619,
2304,ssDMEWMA,4,0.9,2000,20.85445133,
2305,ssDMEWMA,4,0.95,100,13.0819553,
2306,ssDMEWMA,4,0.95,200,14.88,
2307,ssDMEWMA,4,0.95,500,17.35499351,
2308,ssDMEWMA,4,0.95,1000,19.12729056,
2309,ssDMEWMA,4,0.95,2000,20.86847585,
2310,ssDMEWMA,5,0.05,100,11.55,
2311,ssDMEWMA,5,0.05,200,13.412,
2312,ssDMEWMA,5,0.05,500,15.92,
2313,ssDMEWMA,5,0.05,1000,17.792,
2314,ssDMEWMA,5,0.05,2000,19.623,
2315,ssDMEWMA,5,0.1,100,12.84,
2316,ssDMEWMA,5,0.1,200,14.736,
2317,ssDMEWMA,5,0.1,500,17.186,
2318,ssDMEWMA,5,0.1,1000,18.996,
2319,ssDMEWMA,5,0.1,2000,20.755,
2320,ssDMEWMA,5,0.2,100,13.982,
2321,ssDMEWMA,5,0.2,200,15.811,
2322,ssDMEWMA,5,0.2,500,18.154,
2323,ssDMEWMA,5,0.2,1000,19.878,
2324,ssDMEWMA,5,0.2,2000,21.56,
2325,ssDMEWMA,5,0.3,100,14.24614382,
2326,ssDMEWMA,5,0.3,200,16.2042,
2327,ssDMEWMA,5,0.3,500,18.89944797,
2328,ssDMEWMA,5,0.3,1000,20.82946516,
2329,ssDMEWMA,5,0.3,2000,22.7256019,
2330,ssDMEWMA,5,0.4,100,14.48457301,
2331,ssDMEWMA,5,0.4,200,16.4754,
2332,ssDMEWMA,5,0.4,500,19.21575673,
2333,ssDMEWMA,5,0.4,1000,21.17807546,
2334,ssDMEWMA,5,0.4,2000,23.10594671,
2335,ssDMEWMA,5,0.5,100,14.61372215,
2336,ssDMEWMA,5,0.5,200,16.6223,
2337,ssDMEWMA,5,0.5,500,19.38709063,
2338,ssDMEWMA,5,0.5,1000,21.36690603,
2339,ssDMEWMA,5,0.5,2000,23.31196681,
2340,ssDMEWMA,5,0.6,100,14.68326399,
2341,ssDMEWMA,5,0.6,200,16.7014,
2342,ssDMEWMA,5,0.6,500,19.47934735,
2343,ssDMEWMA,5,0.6,1000,21.46858404,
2344,ssDMEWMA,5,0.6,2000,23.42290071,
2345,ssDMEWMA,5,0.7,100,14.72300219,
2346,ssDMEWMA,5,0.7,200,16.7466,
2347,ssDMEWMA,5,0.7,500,19.53206548,
2348,ssDMEWMA,5,0.7,1000,21.52668575,
2349,ssDMEWMA,5,0.7,2000,23.48629151,
2350,ssDMEWMA,5,0.8,100,14.75280584,
2351,ssDMEWMA,5,0.8,200,16.7805,
2352,ssDMEWMA,5,0.8,500,19.57160407,
2353,ssDMEWMA,5,0.8,1000,21.57026204,
2354,ssDMEWMA,5,0.8,2000,23.53383461,
2355,ssDMEWMA,5,0.9,100,14.77267494,
2356,ssDMEWMA,5,0.9,200,16.8031,
2357,ssDMEWMA,5,0.9,500,19.59796314,
2358,ssDMEWMA,5,0.9,1000,21.5993129,
2359,ssDMEWMA,5,0.9,2000,23.56553001,
2360,ssDMEWMA,5,0.95,100,14.78260949,
2361,ssDMEWMA,5,0.95,200,16.8144,
2362,ssDMEWMA,5,0.95,500,19.61114267,
2363,ssDMEWMA,5,0.95,1000,21.61383833,
2364,ssDMEWMA,5,0.95,2000,23.58137771,
2365,ssDMEWMA,6,0.05,100,13.102,
2366,ssDMEWMA,6,0.05,200,14.6,
2367,ssDMEWMA,6,0.05,500,18.154,
2368,ssDMEWMA,6,0.05,1000,19.878,
2369,ssDMEWMA,6,0.05,2000,21.56,
2370,ssDMEWMA,6,0.1,100,14.459,
2371,ssDMEWMA,6,0.1,200,16.27,
2372,ssDMEWMA,6,0.1,500,18.999,
2373,ssDMEWMA,6,0.1,1000,20.867,
2374,ssDMEWMA,6,0.1,2000,22.678,
2375,ssDMEWMA,6,0.2,100,15.636,
2376,ssDMEWMA,6,0.2,200,17.51,
2377,ssDMEWMA,6,0.2,500,19.982,
2378,ssDMEWMA,6,0.2,1000,21.769,
2379,ssDMEWMA,6,0.2,2000,23.5,
2380,ssDMEWMA,6,0.3,100,16.08248772,
2381,ssDMEWMA,6,0.3,200,18.01,
2382,ssDMEWMA,6,0.3,500,20.55258824,
2383,ssDMEWMA,6,0.3,1000,22.39061622,
2384,ssDMEWMA,6,0.3,2000,24.17104512,
2385,ssDMEWMA,6,0.4,100,16.30573158,
2386,ssDMEWMA,6,0.4,200,18.26,
2387,ssDMEWMA,6,0.4,500,20.83788235,
2388,ssDMEWMA,6,0.4,1000,22.70142433,
2389,ssDMEWMA,6,0.4,2000,24.50656768,
2390,ssDMEWMA,6,0.5,100,16.42181839,
2391,ssDMEWMA,6,0.5,200,18.39,
2392,ssDMEWMA,6,0.5,500,20.98623529,
2393,ssDMEWMA,6,0.5,1000,22.86304455,
2394,ssDMEWMA,6,0.5,2000,24.68103941,
2395,ssDMEWMA,6,0.6,100,16.49325642,
2396,ssDMEWMA,6,0.6,200,18.47,
2397,ssDMEWMA,6,0.6,500,21.07752941,
2398,ssDMEWMA,6,0.6,1000,22.96250314,
2399,ssDMEWMA,6,0.6,2000,24.78840662,
2400,ssDMEWMA,6,0.7,100,16.52004569,
2401,ssDMEWMA,6,0.7,200,18.5,
2402,ssDMEWMA,6,0.7,500,21.11176471,
2403,ssDMEWMA,6,0.7,1000,22.99980011,
2404,ssDMEWMA,6,0.7,2000,24.82866933,
2405,ssDMEWMA,6,0.8,100,16.55576471,
2406,ssDMEWMA,6,0.8,200,18.54,
2407,ssDMEWMA,6,0.8,500,21.15741176,
2408,ssDMEWMA,6,0.8,1000,23.04952941,
2409,ssDMEWMA,6,0.8,2000,24.88235294,
2410,ssDMEWMA,6,0.9,100,16.57362421,
2411,ssDMEWMA,6,0.9,200,18.56,
2412,ssDMEWMA,6,0.9,500,21.18023529,
2413,ssDMEWMA,6,0.9,1000,23.07439406,
2414,ssDMEWMA,6,0.9,2000,24.90919475,
2415,ssDMEWMA,6,0.95,100,16.59148372,
2416,ssDMEWMA,6,0.95,200,18.58,
2417,ssDMEWMA,6,0.95,500,21.20305882,
2418,ssDMEWMA,6,0.95,1000,23.09925871,
2419,ssDMEWMA,6,0.95,2000,24.93603655,
2420,ssDMEWMA,7,0.05,100,14.628,
2421,ssDMEWMA,7,0.05,200,16.68,
2422,ssDMEWMA,7,0.05,500,19.409,
2423,ssDMEWMA,7,0.05,1000,21.425,
2424,ssDMEWMA,7,0.05,2000,23.378,
2425,ssDMEWMA,7,0.1,100,16.044,
2426,ssDMEWMA,7,0.1,200,18.114,
2427,ssDMEWMA,7,0.1,500,20.762,
2428,ssDMEWMA,7,0.1,1000,22.699,
2429,ssDMEWMA,7,0.1,2000,24.574,
2430,ssDMEWMA,7,0.2,100,17.26,
2431,ssDMEWMA,7,0.2,200,19.254,
2432,ssDMEWMA,7,0.2,500,21.776,
2433,ssDMEWMA,7,0.2,1000,23.613,
2434,ssDMEWMA,7,0.2,2000,25.412,
2435,ssDMEWMA,7,0.3,100,17.52991162,
2436,ssDMEWMA,7,0.3,200,19.6309,
2437,ssDMEWMA,7,0.3,500,22.40232118,
2438,ssDMEWMA,7,0.3,1000,24.40577168,
2439,ssDMEWMA,7,0.3,2000,26.34643918,
2440,ssDMEWMA,7,0.4,100,17.77324742,
2441,ssDMEWMA,7,0.4,200,19.9034,
2442,ssDMEWMA,7,0.4,500,22.71329176,
2443,ssDMEWMA,7,0.4,1000,24.74455252,
2444,ssDMEWMA,7,0.4,2000,26.71215877,
2445,ssDMEWMA,7,0.5,100,17.89978204,
2446,ssDMEWMA,7,0.5,200,20.0451,
2447,ssDMEWMA,7,0.5,500,22.87499647,
2448,ssDMEWMA,7,0.5,1000,24.92071856,
2449,ssDMEWMA,7,0.5,2000,26.90233295,
2450,ssDMEWMA,7,0.6,100,17.9776495,
2451,ssDMEWMA,7,0.6,200,20.1323,
2452,ssDMEWMA,7,0.6,500,22.97450706,
2453,ssDMEWMA,7,0.6,1000,25.02912842,
2454,ssDMEWMA,7,0.6,2000,27.01936322,
2455,ssDMEWMA,7,0.7,100,18.0068498,
2456,ssDMEWMA,7,0.7,200,20.165,
2457,ssDMEWMA,7,0.7,500,23.01182353,
2458,ssDMEWMA,7,0.7,1000,25.06978212,
2459,ssDMEWMA,7,0.7,2000,27.06324957,
2460,ssDMEWMA,7,0.8,100,18.04578353,
2461,ssDMEWMA,7,0.8,200,20.2086,
2462,ssDMEWMA,7,0.8,500,23.06157882,
2463,ssDMEWMA,7,0.8,1000,25.12398706,
2464,ssDMEWMA,7,0.8,2000,27.12176471,
2465,ssDMEWMA,7,0.9,100,18.06525039,
2466,ssDMEWMA,7,0.9,200,20.2304,
2467,ssDMEWMA,7,0.9,500,23.08645647,
2468,ssDMEWMA,7,0.9,1000,25.15108953,
2469,ssDMEWMA,7,0.9,2000,27.15102227,
2470,ssDMEWMA,7,0.95,100,18.08471726,
2471,ssDMEWMA,7,0.95,200,20.2522,
2472,ssDMEWMA,7,0.95,500,23.11133412,
2473,ssDMEWMA,7,0.95,1000,25.17819199,
2474,ssDMEWMA,7,0.95,2000,27.18027984,
2475,ssDMEWMA,8,0.05,100,16.103,
2476,ssDMEWMA,8,0.05,200,18.257,
2477,ssDMEWMA,8,0.05,500,21.075,
2478,ssDMEWMA,8,0.05,1000,23.163,
2479,ssDMEWMA,8,0.05,2000,25.186,
2480,ssDMEWMA,8,0.1,100,17.581,
2481,ssDMEWMA,8,0.1,200,19.74,
2482,ssDMEWMA,8,0.1,500,21.075,
2483,ssDMEWMA,8,0.1,1000,23.163,
2484,ssDMEWMA,8,0.1,2000,25.186,
2485,ssDMEWMA,8,0.2,100,18.852,
2486,ssDMEWMA,8,0.2,200,20.905,
2487,ssDMEWMA,8,0.2,500,23.515,
2488,ssDMEWMA,8,0.2,1000,25.416,
2489,ssDMEWMA,8,0.2,2000,27.252,
2490,ssDMEWMA,8,0.3,100,18.75700543,
2491,ssDMEWMA,8,0.3,200,21.005063,
2492,ssDMEWMA,8,0.3,500,23.97048366,
2493,ssDMEWMA,8,0.3,1000,26.1141757,
2494,ssDMEWMA,8,0.3,2000,28.19068992,
2495,ssDMEWMA,8,0.4,100,19.01737474,
2496,ssDMEWMA,8,0.4,200,21.296638,
2497,ssDMEWMA,8,0.4,500,24.30322219,
2498,ssDMEWMA,8,0.4,1000,26.47667119,
2499,ssDMEWMA,8,0.4,2000,28.58200988,
2500,ssDMEWMA,8,0.5,100,19.15276679,
2501,ssDMEWMA,8,0.5,200,21.448257,
2502,ssDMEWMA,8,0.5,500,24.47624622,
2503,ssDMEWMA,8,0.5,1000,26.66516885,
2504,ssDMEWMA,8,0.5,2000,28.78549626,
2505,ssDMEWMA,8,0.6,100,19.23608497,
2506,ssDMEWMA,8,0.6,200,21.541561,
2507,ssDMEWMA,8,0.6,500,24.58272255,
2508,ssDMEWMA,8,0.6,1000,26.78116741,
2509,ssDMEWMA,8,0.6,2000,28.91071865,
2510,ssDMEWMA,8,0.7,100,19.26732929,
2511,ssDMEWMA,8,0.7,200,21.57655,
2512,ssDMEWMA,8,0.7,500,24.62265118,
2513,ssDMEWMA,8,0.7,1000,26.82466687,
2514,ssDMEWMA,8,0.7,2000,28.95767704,
2515,ssDMEWMA,8,0.8,100,19.30898838,
2516,ssDMEWMA,8,0.8,200,21.623202,
2517,ssDMEWMA,8,0.8,500,24.67588934,
2518,ssDMEWMA,8,0.8,1000,26.88266615,
2519,ssDMEWMA,8,0.8,2000,29.02028824,
2520,ssDMEWMA,8,0.9,100,19.32981792,
2521,ssDMEWMA,8,0.9,200,21.646528,
2522,ssDMEWMA,8,0.9,500,24.70250842,
2523,ssDMEWMA,8,0.9,1000,26.91166579,
2524,ssDMEWMA,8,0.9,2000,29.05159383,
2525,ssDMEWMA,8,0.95,100,19.35064747,
2526,ssDMEWMA,8,0.95,200,21.669854,
2527,ssDMEWMA,8,0.95,500,24.72912751,
2528,ssDMEWMA,8,0.95,1000,26.94066543,
2529,ssDMEWMA,8,0.95,2000,29.08289943,
2530,ssDMEWMA,9,0.05,100,17.573,
2531,ssDMEWMA,9,0.05,200,19.792,
2532,ssDMEWMA,9,0.05,500,22.712,
2533,ssDMEWMA,9,0.05,1000,24.849,
2534,ssDMEWMA,9,0.05,2000,26.927,
2535,ssDMEWMA,9,0.1,100,19.095,
2536,ssDMEWMA,9,0.1,200,21.317,
2537,ssDMEWMA,9,0.1,500,24.142,
2538,ssDMEWMA,9,0.1,1000,26.196,
2539,ssDMEWMA,9,0.1,2000,28.172,
2540,ssDMEWMA,9,0.2,100,20.394,
2541,ssDMEWMA,9,0.2,200,22.518,
2542,ssDMEWMA,9,0.2,500,25.208,
2543,ssDMEWMA,9,0.2,1000,27.154,
2544,ssDMEWMA,9,0.2,2000,29.04,
2545,ssDMEWMA,9,0.3,100,20.25756586,
2546,ssDMEWMA,9,0.3,200,22.68546804,
2547,ssDMEWMA,9,0.3,500,25.88812235,
2548,ssDMEWMA,9,0.3,1000,28.20330975,
2549,ssDMEWMA,9,0.3,2000,30.44594511,
2550,ssDMEWMA,9,0.4,100,20.53876472,
2551,ssDMEWMA,9,0.4,200,23.00036904,
2552,ssDMEWMA,9,0.4,500,26.24747996,
2553,ssDMEWMA,9,0.4,1000,28.59480489,
2554,ssDMEWMA,9,0.4,2000,30.86857067,
2555,ssDMEWMA,9,0.5,100,20.68498813,
2556,ssDMEWMA,9,0.5,200,23.16411756,
2557,ssDMEWMA,9,0.5,500,26.43434592,
2558,ssDMEWMA,9,0.5,1000,28.79838236,
2559,ssDMEWMA,9,0.5,2000,31.08833596,
2560,ssDMEWMA,9,0.6,100,20.77497177,
2561,ssDMEWMA,9,0.6,200,23.26488588,
2562,ssDMEWMA,9,0.6,500,26.54934036,
2563,ssDMEWMA,9,0.6,1000,28.92366081,
2564,ssDMEWMA,9,0.6,2000,31.22357614,
2565,ssDMEWMA,9,0.7,100,20.80871563,
2566,ssDMEWMA,9,0.7,200,23.302674,
2567,ssDMEWMA,9,0.7,500,26.59246327,
2568,ssDMEWMA,9,0.7,1000,28.97064022,
2569,ssDMEWMA,9,0.7,2000,31.27429121,
2570,ssDMEWMA,9,0.8,100,20.85370745,
2571,ssDMEWMA,9,0.8,200,23.35305816,
2572,ssDMEWMA,9,0.8,500,26.64996049,
2573,ssDMEWMA,9,0.8,1000,29.03327945,
2574,ssDMEWMA,9,0.8,2000,31.34191129,
2575,ssDMEWMA,9,0.9,100,20.87620336,
2576,ssDMEWMA,9,0.9,200,23.37825024,
2577,ssDMEWMA,9,0.9,500,26.6787091,
2578,ssDMEWMA,9,0.9,1000,29.06459906,
2579,ssDMEWMA,9,0.9,2000,31.37572134,
2580,ssDMEWMA,9,0.95,100,20.89869926,
2581,ssDMEWMA,9,0.95,200,23.40344232,
2582,ssDMEWMA,9,0.95,500,26.70745771,
2583,ssDMEWMA,9,0.95,1000,29.09591867,
2584,ssDMEWMA,9,0.95,2000,31.40953138,
2585,ssDMEWMA,10,0.05,100,19.032,
2586,ssDMEWMA,10,0.05,200,20.72,
2587,ssDMEWMA,10,0.05,500,24.363,
2588,ssDMEWMA,10,0.05,1000,26.565,
2589,ssDMEWMA,10,0.05,2000,28.696,
2590,ssDMEWMA,10,0.1,100,20.621,
2591,ssDMEWMA,10,0.1,200,22.67,
2592,ssDMEWMA,10,0.1,500,25.831,
2593,ssDMEWMA,10,0.1,1000,27.945,
2594,ssDMEWMA,10,0.1,2000,29.973,
2595,ssDMEWMA,10,0.2,100,21.966,
2596,ssDMEWMA,10,0.2,200,24.07,
2597,ssDMEWMA,10,0.2,500,26.924,
2598,ssDMEWMA,10,0.2,1000,28.915,
2599,ssDMEWMA,10,0.2,2000,30.87,
2600,ssDMEWMA,10,0.3,100,22.46792356,
2601,ssDMEWMA,10,0.3,200,24.62,
2602,ssDMEWMA,10,0.3,500,27.53921396,
2603,ssDMEWMA,10,0.3,1000,29.57570835,
2604,ssDMEWMA,10,0.3,2000,31.57538014,
2605,ssDMEWMA,10,0.4,100,22.71432239,
2606,ssDMEWMA,10,0.4,200,24.89,
2607,ssDMEWMA,10,0.4,500,27.84122808,
2608,ssDMEWMA,10,0.4,1000,29.90005609,
2609,ssDMEWMA,10,0.4,2000,31.92165767,
2610,ssDMEWMA,10,0.5,100,22.84208475,
2611,ssDMEWMA,10,0.5,200,25.03,
2612,ssDMEWMA,10,0.5,500,27.997828,
2613,ssDMEWMA,10,0.5,1000,30.06823639,
2614,ssDMEWMA,10,0.5,2000,32.10120897,
2615,ssDMEWMA,10,0.6,100,22.91509182,
2616,ssDMEWMA,10,0.6,200,25.11,
2617,ssDMEWMA,10,0.6,500,28.08731367,
2618,ssDMEWMA,10,0.6,1000,30.16433943,
2619,ssDMEWMA,10,0.6,2000,32.20380972,
2620,ssDMEWMA,10,0.7,100,22.94246946,
2621,ssDMEWMA,10,0.7,200,25.14,
2622,ssDMEWMA,10,0.7,500,28.12087079,
2623,ssDMEWMA,10,0.7,1000,30.20037806,
2624,ssDMEWMA,10,0.7,2000,32.242285,
2625,ssDMEWMA,10,0.8,100,22.96984711,
2626,ssDMEWMA,10,0.8,200,25.17,
2627,ssDMEWMA,10,0.8,500,28.15442792,
2628,ssDMEWMA,10,0.8,1000,30.2364167,
2629,ssDMEWMA,10,0.8,2000,32.28076028,
2630,ssDMEWMA,10,0.9,100,22.98809888,
2631,ssDMEWMA,10,0.9,200,25.19,
2632,ssDMEWMA,10,0.9,500,28.17679934,
2633,ssDMEWMA,10,0.9,1000,30.26044246,
2634,ssDMEWMA,10,0.9,2000,32.30641047,
2635,ssDMEWMA,10,0.95,100,22.99722476,
2636,ssDMEWMA,10,0.95,200,25.2,
2637,ssDMEWMA,10,0.95,500,28.18798504,
2638,ssDMEWMA,10,0.95,1000,30.27245534,
2639,ssDMEWMA,10,0.95,2000,32.31923556,
2640,ssDMEWMA,15,0.05,100,25.844,
2641,ssDMEWMA,15,0.05,200,27.82,
2642,ssDMEWMA,15,0.05,500,31.887,
2643,ssDMEWMA,15,0.05,1000,34.351,
2644,ssDMEWMA,15,0.05,2000,36.72,
2645,ssDMEWMA,15,0.1,100,27.653,
2646,ssDMEWMA,15,0.1,200,30.03,
2647,ssDMEWMA,15,0.1,500,33.518,
2648,ssDMEWMA,15,0.1,1000,35.86,
2649,ssDMEWMA,15,0.1,2000,38.109,
2650,ssDMEWMA,15,0.2,100,29.161,
2651,ssDMEWMA,15,0.2,200,31.59,
2652,ssDMEWMA,15,0.2,500,34.693,
2653,ssDMEWMA,15,0.2,1000,36.911,
2654,ssDMEWMA,15,0.2,2000,39.047,
2655,ssDMEWMA,15,0.3,100,29.20830062,
2656,ssDMEWMA,15,0.3,200,32.19,
2657,ssDMEWMA,15,0.3,500,35.80097815,
2658,ssDMEWMA,15,0.3,1000,38.44842086,
2659,ssDMEWMA,15,0.3,2000,41.04799418,
2660,ssDMEWMA,15,0.4,100,29.52861911,
2661,ssDMEWMA,15,0.4,200,32.48,
2662,ssDMEWMA,15,0.4,500,36.19359651,
2663,ssDMEWMA,15,0.4,1000,38.87007291,
2664,ssDMEWMA,15,0.4,2000,41.49815496,
2665,ssDMEWMA,15,0.5,100,29.69471018,
2666,ssDMEWMA,15,0.5,200,32.63,
2667,ssDMEWMA,15,0.5,500,36.3971764,
2668,ssDMEWMA,15,0.5,1000,39.08870731,
2669,ssDMEWMA,15,0.5,2000,41.73157167,
2670,ssDMEWMA,15,0.6,100,29.78961936,
2671,ssDMEWMA,15,0.6,200,32.71,
2672,ssDMEWMA,15,0.6,500,36.51350777,
2673,ssDMEWMA,15,0.6,1000,39.21364125,
2674,ssDMEWMA,15,0.6,2000,41.86495264,
2675,ssDMEWMA,15,0.7,100,29.8252103,
2676,ssDMEWMA,15,0.7,200,32.75,
2677,ssDMEWMA,15,0.7,500,36.55713203,
2678,ssDMEWMA,15,0.7,1000,39.26049148,
2679,ssDMEWMA,15,0.7,2000,41.9149705,
2680,ssDMEWMA,15,0.8,100,29.86080125,
2681,ssDMEWMA,15,0.8,200,32.79,
2682,ssDMEWMA,15,0.8,500,36.60075629,
2683,ssDMEWMA,15,0.8,1000,39.30734171,
2684,ssDMEWMA,15,0.8,2000,41.96498837,
2685,ssDMEWMA,15,0.9,100,29.88452854,
2686,ssDMEWMA,15,0.9,200,32.83,
2687,ssDMEWMA,15,0.9,500,36.62983914,
2688,ssDMEWMA,15,0.9,1000,39.3385752,
2689,ssDMEWMA,15,0.9,2000,41.99833361,
2690,ssDMEWMA,15,0.95,100,29.89639219,
2691,ssDMEWMA,15,0.95,200,32.85,
2692,ssDMEWMA,15,0.95,500,36.64438056,
2693,ssDMEWMA,15,0.95,1000,39.35419194,
2694,ssDMEWMA,15,0.95,2000,42.01500623,
2695,ssDMEWMA,20,0.05,100,32.39,
2696,ssDMEWMA,20,0.05,200,35.293,
2697,ssDMEWMA,20,0.05,500,39.031,
2698,ssDMEWMA,20,0.05,1000,41.724,
2699,ssDMEWMA,20,0.05,2000,44.297,
2700,ssDMEWMA,20,0.1,100,34.378,
2701,ssDMEWMA,20,0.1,200,37.235,
2702,ssDMEWMA,20,0.1,500,40.806,
2703,ssDMEWMA,20,0.1,1000,43.36,
2704,ssDMEWMA,20,0.1,2000,45.778,
2705,ssDMEWMA,20,0.2,100,36.017,
2706,ssDMEWMA,20,0.2,200,38.727,
2707,ssDMEWMA,20,0.2,500,42.086,
2708,ssDMEWMA,20,0.2,1000,44.483,
2709,ssDMEWMA,20,0.2,2000,46.785,
2710,ssDMEWMA,20,0.3,100,35.63412676,
2711,ssDMEWMA,20,0.3,200,39.2718,
2712,ssDMEWMA,20,0.3,500,43.67719334,
2713,ssDMEWMA,20,0.3,1000,46.90707344,
2714,ssDMEWMA,20,0.3,2000,50.0785529,
2715,ssDMEWMA,20,0.4,100,36.02491532,
2716,ssDMEWMA,20,0.4,200,39.6256,
2717,ssDMEWMA,20,0.4,500,44.15618774,
2718,ssDMEWMA,20,0.4,1000,47.42148895,
2719,ssDMEWMA,20,0.4,2000,50.62774906,
2720,ssDMEWMA,20,0.5,100,36.22754642,
2721,ssDMEWMA,20,0.5,200,39.8086,
2722,ssDMEWMA,20,0.5,500,44.40455521,
2723,ssDMEWMA,20,0.5,1000,47.68822292,
2724,ssDMEWMA,20,0.5,2000,50.91251743,
2725,ssDMEWMA,20,0.6,100,36.34333562,
2726,ssDMEWMA,20,0.6,200,39.9062,
2727,ssDMEWMA,20,0.6,500,44.54647948,
2728,ssDMEWMA,20,0.6,1000,47.84064233,
2729,ssDMEWMA,20,0.6,2000,51.07524222,
2730,ssDMEWMA,20,0.7,100,36.38675657,
2731,ssDMEWMA,20,0.7,200,39.955,
2732,ssDMEWMA,20,0.7,500,44.59970108,
2733,ssDMEWMA,20,0.7,1000,47.89779961,
2734,ssDMEWMA,20,0.7,2000,51.13626401,
2735,ssDMEWMA,20,0.8,100,36.43017752,
2736,ssDMEWMA,20,0.8,200,40.0038,
2737,ssDMEWMA,20,0.8,500,44.65292268,
2738,ssDMEWMA,20,0.8,1000,47.95495689,
2739,ssDMEWMA,20,0.8,2000,51.19728581,
2740,ssDMEWMA,20,0.9,100,36.45912482,
2741,ssDMEWMA,20,0.9,200,40.0526,
2742,ssDMEWMA,20,0.9,500,44.68840375,
2743,ssDMEWMA,20,0.9,1000,47.99306174,
2744,ssDMEWMA,20,0.9,2000,51.237967,
2745,ssDMEWMA,20,0.95,100,36.47359847,
2746,ssDMEWMA,20,0.95,200,40.077,
2747,ssDMEWMA,20,0.95,500,44.70614428,
2748,ssDMEWMA,20,0.95,1000,48.01211417,
2749,ssDMEWMA,20,0.95,2000,51.2583076,
2750,ssDMEWMA,25,0.05,100,39.5158,
2751,ssDMEWMA,25,0.05,200,43.05746,
2752,ssDMEWMA,25,0.05,500,47.61782,
2753,ssDMEWMA,25,0.05,1000,50.90328,
2754,ssDMEWMA,25,0.05,2000,54.04234,
2755,ssDMEWMA,25,0.1,100,41.94116,
2756,ssDMEWMA,25,0.1,200,45.4267,
2757,ssDMEWMA,25,0.1,500,49.78332,
2758,ssDMEWMA,25,0.1,1000,52.8992,
2759,ssDMEWMA,25,0.1,2000,55.84916,
2760,ssDMEWMA,25,0.2,100,43.94074,
2761,ssDMEWMA,25,0.2,200,47.24694,
2762,ssDMEWMA,25,0.2,500,51.34492,
2763,ssDMEWMA,25,0.2,1000,54.26926,
2764,ssDMEWMA,25,0.2,2000,57.0777,
2765,ssDMEWMA,25,0.3,100,43.47363465,
2766,ssDMEWMA,25,0.3,200,47.911596,
2767,ssDMEWMA,25,0.3,500,53.28617587,
2768,ssDMEWMA,25,0.3,1000,57.2266296,
2769,ssDMEWMA,25,0.3,2000,61.09583454,
2770,ssDMEWMA,25,0.4,100,43.95039668,
2771,ssDMEWMA,25,0.4,200,48.343232,
2772,ssDMEWMA,25,0.4,500,53.87054905,
2773,ssDMEWMA,25,0.4,1000,57.85421652,
2774,ssDMEWMA,25,0.4,2000,61.76585385,
2775,ssDMEWMA,25,0.5,100,44.19760663,
2776,ssDMEWMA,25,0.5,200,48.566492,
2777,ssDMEWMA,25,0.5,500,54.17355736,
2778,ssDMEWMA,25,0.5,1000,58.17963196,
2779,ssDMEWMA,25,0.5,2000,62.11327127,
2780,ssDMEWMA,25,0.6,100,44.33886946,
2781,ssDMEWMA,25,0.6,200,48.685564,
2782,ssDMEWMA,25,0.6,500,54.34670496,
2783,ssDMEWMA,25,0.6,1000,58.36558364,
2784,ssDMEWMA,25,0.6,2000,62.31179551,
