Method,Dimension,Lambda,ARL,h,ARL_observed
DMEWMA,9,0.05,100,12.5105,99.9897
DMEWMA,9,0.05,200,14.85840625,199.9035
DMEWMA,9,0.05,500,17.9073125,500.3553
DMEWMA,9,0.05,1000,20.26696875,999.5876
DMEWMA,9,0.05,2000,22.4035625,1999.6639
DMEWMA,9,0.1,100,14.70046875,99.9896
DMEWMA,9,0.1,200,17.174421875,199.8883
DMEWMA,9,0.1,500,20.292390625,500.3328
DMEWMA,9,0.1,1000,22.50459375,999.4091
DMEWMA,9,0.1,2000,24.591921875,1999.2518
DMEWMA,9,0.2,100,17.11275,100.0792
DMEWMA,9,0.2,200,19.61175,199.8107
DMEWMA,9,0.2,500,22.5595625,499.8638
DMEWMA,9,0.2,1000,24.65790625,1000.1415
DMEWMA,9,0.2,2000,26.69625,1999.1749
DMEWMA,9,0.3,100,18.58178461,100.0411
DMEWMA,9,0.3,200,21.038983665,200.0387
DMEWMA,9,0.3,500,23.8695676625,499.8383
DMEWMA,9,0.3,1000,25.941591,1000.5862
DMEWMA,9,0.3,2000,27.908835735,2001.2112
DMEWMA,9,0.4,100,19.58173347,99.9569
DMEWMA,9,0.4,200,21.97693154,200.158
DMEWMA,9,0.4,500,24.753339335,500.3314
DMEWMA,9,0.4,1000,26.7813283275,1000.4003
DMEWMA,9,0.4,2000,28.6976722325,2001.0377
DMEWMA,9,0.5,100,20.28264438,100.0489
DMEWMA,9,0.5,200,22.57036756,200.0509
DMEWMA,9,0.5,500,25.35231467,500.0566
DMEWMA,9,0.5,1000,27.280804235,999.2054
DMEWMA,9,0.5,2000,29.17817971,1998.637
DMEWMA,9,0.6,100,20.81403427,100.0306
DMEWMA,9,0.6,200,22.99926088,200.095
DMEWMA,9,0.6,500,25.67824661,499.9032
DMEWMA,9,0.6,1000,27.59944206,999.9575
DMEWMA,9,0.6,2000,29.4628339525,1999.2297
DMEWMA,9,0.7,100,21.08996563,100.0528
DMEWMA,9,0.7,200,23.297674,200.1149
DMEWMA,9,0.7,500,25.90886952,500.1044
DMEWMA,9,0.7,1000,27.804624595,1000.335
DMEWMA,9,0.7,2000,29.604369335,1999.0432
DMEWMA,9,0.8,100,21.2638637,100.0581
DMEWMA,9,0.8,200,23.39993316,200.1502
DMEWMA,9,0.8,500,26.03277299,499.5026
DMEWMA,9,0.8,1000,27.843826325,1000.599
DMEWMA,9,0.8,2000,29.683708165,1999.8400840084
DMEWMA,9,0.9,100,21.32932836,100.0928
DMEWMA,9,0.9,200,23.44075024,200.0746
DMEWMA,9,0.9,500,26.01855285,500.2424
DMEWMA,9,0.9,1000,27.84584906,999.2955
DMEWMA,9,0.9,2000,29.65306509,2001.0543
DMEWMA,9,0.95,100,21.36744926,100.0175
DMEWMA,9,0.95,200,23.45422357,200.0285
DMEWMA,9,0.95,500,26.01995771,500.4575
DMEWMA,9,0.95,1000,27.859590545,999.9106
DMEWMA,9,0.95,2000,29.6253516925,1999.0141
DMEWMA,10,0.05,100,13.67653125,100.0068
DMEWMA,10,0.05,200,16.190703125,200.1407
DMEWMA,10,0.05,500,19.441125,500.2181
DMEWMA,10,0.05,1000,21.7515234375,1000.0785
DMEWMA,10,0.05,2000,24.037796875,2000.5618
DMEWMA,10,0.1,100,15.89834375,99.9541
DMEWMA,10,0.1,200,18.550859375,200.0866
DMEWMA,10,0.1,500,21.7851015625,500.4352
DMEWMA,10,0.1,1000,24.025078125,999.8384
DMEWMA,10,0.1,2000,26.2464375,1998.2962
DMEWMA,10,0.2,100,18.41521875,99.91
DMEWMA,10,0.2,200,21.05828125,200.0992
DMEWMA,10,0.2,500,24.14665625,499.6608
DMEWMA,10,0.2,1000,26.342734375,1000.779
DMEWMA,10,0.2,2000,28.461796875,1998.0016
DMEWMA,10,0.3,100,19.92495481,100.0428
DMEWMA,10,0.3,200,22.46375,200.0305
DMEWMA,10,0.3,500,25.506010835,500.0475
DMEWMA,10,0.3,1000,27.624536475,999.5409
DMEWMA,10,0.3,2000,29.66522389,1999.5063
DMEWMA,10,0.4,100,20.95650989,100.0953
DMEWMA,10,0.4,200,23.44859375,199.9297
DMEWMA,10,0.4,500,26.37638433,500.2112
DMEWMA,10,0.4,1000,28.429352965,999.427
DMEWMA,10,0.4,2000,30.42165767,1998.495949595
DMEWMA,10,0.5,100,21.752241,100.0116
DMEWMA,10,0.5,200,24.108125,199.9355
DMEWMA,10,0.5,500,26.950953,499.6472
DMEWMA,10,0.5,1000,28.93542389,1000.0024
DMEWMA,10,0.5,2000,30.908826157500002,2000.7726
DMEWMA,10,0.6,100,22.23540432,99.9305
DMEWMA,10,0.6,200,24.5475,200.0895
DMEWMA,10,0.6,500,27.26700117,499.6129
DMEWMA,10,0.6,1000,29.27371443,1000.115
DMEWMA,10,0.6,2000,31.18818472,2000.6386
DMEWMA,10,0.7,100,22.55965696,99.9606
DMEWMA,10,0.7,200,24.829453125,199.9774
DMEWMA,10,0.7,500,27.52712079,500.1363
DMEWMA,10,0.7,1000,29.50115931,999.6373
DMEWMA,10,0.7,2000,31.37119125,1999.8395839584
DMEWMA,10,0.8,100,22.76281586,100.0514
DMEWMA,10,0.8,200,24.9590625,200.1422
DMEWMA,10,0.8,500,27.67005292,500.3713
DMEWMA,10,0.8,1000,29.5254792,999.8375
DMEWMA,10,0.8,2000,31.41357278,1998.0718
DMEWMA,10,0.9,100,22.83966138,99.9812
DMEWMA,10,0.9,200,25.03375,199.8498
DMEWMA,10,0.9,500,27.67679934,499.5839
DMEWMA,10,0.9,1000,29.55731746,1000.7578
DMEWMA,10,0.9,2000,31.42359797,2000.3912
DMEWMA,10,0.95,100,22.88784976,100.0446
DMEWMA,10,0.95,200,25.026171875,200.0476
DMEWMA,10,0.95,500,27.67236004,500.271
DMEWMA,10,0.95,1000,29.58495534,999.0501
DMEWMA,10,0.95,2000,31.43642306,1999.7525
DMEWMA,15,0.05,100,19.217046875,99.965
DMEWMA,15,0.05,200,22.37078125,199.9163
DMEWMA,15,0.05,500,26.25028125,499.7381
DMEWMA,15,0.05,1000,28.9838125,999.7681
DMEWMA,15,0.05,2000,31.57546875,1999.8124812481
DMEWMA,15,0.1,100,21.951828125,100.0129
DMEWMA,15,0.1,200,25.21359375,199.9678
